# Black Hole Lifecycle: Field-Driven Cosmology Results
# w (field) = -0.9954 (DESI: -0.85)
# K/V = 0.08108 (paper: 0.0811)
# Relic pressureless mean residual = 3.48e-04
# BH relic mass = 2.18e-13 kg
# Relic identity chi = 0.999990
# Growth rate f = 0.5285
# v_c(10kpc) = 153.1 km/s
# v_c(100kpc) = 117.5 km/s
# All checks pass: True
#
# Section 1: Cosmic Expansion
# ln(a)	a(t)	H/H0	w(t)	rho_phi/rho_crit
-7.0000	0.000912	23804.9381	-1.0000	0.700009
-6.9719	0.000938	22743.1431	0.9999	23775.514038
-6.9439	0.000965	21730.2781	0.9999	18342.377121
-6.9158	0.000992	20764.0429	0.9999	14152.921661
-6.8878	0.001020	19842.2030	0.9999	10921.963389
-6.8597	0.001049	18962.6363	0.9998	8429.831830
-6.8317	0.001079	18123.3263	0.9998	6507.291601
-6.8036	0.001110	17322.3572	0.9997	5023.941105
-6.7756	0.001141	16557.9085	0.9996	3879.285007
-6.7475	0.001174	15828.2498	0.9995	2995.863022
-6.7194	0.001207	15131.7365	0.9994	2313.960421
-6.6914	0.001242	14466.8050	0.9992	1787.535427
-6.6633	0.001277	13831.9687	0.9990	1381.083012
-6.6353	0.001313	13225.8139	0.9987	1067.219365
-6.6072	0.001351	12646.9965	0.9983	824.821114
-6.5792	0.001389	12094.2378	0.9978	637.591666
-6.5511	0.001429	11566.3216	0.9972	492.956431
-6.5230	0.001469	11062.0908	0.9963	381.211358
-6.4950	0.001511	10580.4445	0.9953	294.866580
-6.4669	0.001554	10120.3352	0.9939	228.140404
-6.4389	0.001598	9680.7660	0.9921	176.569118
-6.4108	0.001644	9260.7880	0.9898	136.706087
-6.3828	0.001690	8859.4980	0.9868	105.889651
-6.3547	0.001739	8476.0362	0.9829	82.064080
-6.3267	0.001788	8109.5840	0.9780	63.641427
-6.2986	0.001839	7759.3618	0.9717	49.394932
-6.2705	0.001891	7424.6272	0.9635	38.376748
-6.2425	0.001945	7104.6732	0.9531	29.854437
-6.2144	0.002000	6798.8264	0.9398	23.261954
-6.1864	0.002057	6506.4452	0.9229	18.161788
-6.1583	0.002116	6226.9184	0.9015	14.215742
-6.1303	0.002176	5959.6634	0.8746	11.162354
-6.1022	0.002238	5704.1255	0.8409	8.799468
-6.0741	0.002302	5459.7755	0.7992	6.970763
-6.0461	0.002367	5226.1093	0.7480	5.555347
-6.0180	0.002434	5002.6464	0.6861	4.459720
-5.9900	0.002504	4788.9285	0.6124	3.611556
-5.9619	0.002575	4584.5189	0.5262	2.954907
-5.9339	0.002648	4389.0010	0.4277	2.446487
-5.9058	0.002724	4201.9776	0.3180	2.052802
-5.8778	0.002801	4023.0698	0.1990	1.747937
-5.8497	0.002881	3851.9162	0.0740	1.511834
-5.8216	0.002963	3688.1722	-0.0535	1.328969
-5.7936	0.003047	3531.5089	-0.1791	1.187329
-5.7655	0.003134	3381.6125	-0.2992	1.077610
-5.7375	0.003223	3238.1836	-0.4104	0.992613
-5.7094	0.003315	3100.9364	-0.5107	0.926763
-5.6814	0.003409	2969.5984	-0.5987	0.875744
-5.6533	0.003506	2843.9093	-0.6742	0.836212
-5.6253	0.003606	2723.6205	-0.7379	0.805579
-5.5972	0.003708	2608.4949	-0.7907	0.781840
-5.5691	0.003814	2498.3061	-0.8338	0.763443
-5.5411	0.003922	2392.8378	-0.8687	0.749185
-5.5130	0.004034	2291.8836	-0.8967	0.738133
-5.4850	0.004149	2195.2464	-0.9190	0.729567
-5.4569	0.004267	2102.7377	-0.9366	0.722927
-5.4289	0.004388	2014.1779	-0.9505	0.717779
-5.4008	0.004513	1929.3950	-0.9614	0.713788
-5.3727	0.004641	1848.2249	-0.9699	0.710694
-5.3447	0.004773	1770.5109	-0.9766	0.708295
-5.3166	0.004909	1696.1030	-0.9818	0.706435
-5.2886	0.005049	1624.8583	-0.9859	0.704993
-5.2605	0.005193	1556.6398	-0.9890	0.703875
-5.2325	0.005340	1491.3168	-0.9915	0.703007
-5.2044	0.005492	1428.7644	-0.9934	0.702335
-5.1764	0.005649	1368.8632	-0.9949	0.701813
-5.1483	0.005809	1311.4990	-0.9960	0.701408
-5.1202	0.005975	1256.5627	-0.9969	0.701094
-5.0922	0.006145	1203.9499	-0.9976	0.700851
-5.0641	0.006319	1153.5610	-0.9981	0.700662
-5.0361	0.006499	1105.3006	-0.9986	0.700516
-5.0080	0.006684	1059.0774	-0.9989	0.700402
-4.9800	0.006874	1014.8043	-0.9991	0.700314
-4.9519	0.007070	972.3979	-0.9993	0.700246
-4.9238	0.007271	931.7784	-0.9995	0.700193
-4.8958	0.007478	892.8696	-0.9996	0.700151
-4.8677	0.007691	855.5985	-0.9997	0.700119
-4.8397	0.007910	819.8953	-0.9998	0.700095
-4.8116	0.008135	785.6933	-0.9998	0.700075
-4.7836	0.008366	752.9286	-0.9999	0.700061
-4.7555	0.008604	721.5401	-0.9999	0.700049
-4.7275	0.008849	691.4693	-0.9999	0.700040
-4.6994	0.009101	662.6604	-0.9999	0.700033
-4.6713	0.009360	635.0597	-0.9999	0.700028
-4.6433	0.009626	608.6162	-1.0000	0.700023
