# Parametric Fisher Information & CRLB Results
# G(t) = 1e-3 + 1e-4 * cos(2*pi*t)
# theta_true = (1.000000e-03, 1.000000e-04)
# theta_fit  = (1.000260e-03, 9.912823e-05)
# sigma per channel = (1.00e-05, 1.00e-05, 1.00e-05)
# F_scalar = 15000000000.0000
# CRLB_scalar = 6.666667e-11
#
# Fisher parametric (2x2):
#   7.500000e+12  1.500000e+10
#   1.500000e+10  3.757500e+12
#
# CRLB parametric (2x2):
#   1.333344e-13  -5.322730e-16
#   -5.322730e-16  2.661365e-13
#
# t	G_true	G_hat	G_recon	G_fit
0.00000000	0.00110000	0.00110949	0.00110000	0.00109939
0.00200401	0.00109999	0.00111180	0.00109999	0.00109938
0.00400802	0.00109997	0.00109496	0.00109997	0.00109936
0.00601202	0.00109993	0.00111384	0.00109993	0.00109932
0.00801603	0.00109987	0.00109397	0.00109987	0.00109926
0.01002004	0.00109980	0.00109499	0.00109980	0.00109919
0.01202405	0.00109971	0.00110629	0.00109971	0.00109910
0.01402806	0.00109961	0.00109897	0.00109961	0.00109900
0.01603206	0.00109949	0.00109669	0.00109949	0.00109889
0.01803607	0.00109936	0.00109744	0.00109936	0.00109875
0.02004008	0.00109921	0.00109792	0.00109921	0.00109860
0.02204409	0.00109904	0.00109560	0.00109904	0.00109844
0.02404810	0.00109886	0.00109888	0.00109886	0.00109826
0.02605210	0.00109866	0.00107986	0.00109866	0.00109806
0.02805611	0.00109845	0.00108311	0.00109845	0.00109785
0.03006012	0.00109822	0.00109951	0.00109822	0.00109762
0.03206413	0.00109798	0.00109456	0.00109798	0.00109738
0.03406814	0.00109772	0.00109330	0.00109772	0.00109713
0.03607214	0.00109744	0.00109205	0.00109744	0.00109685
0.03807615	0.00109715	0.00109275	0.00109715	0.00109656
0.04008016	0.00109685	0.00109549	0.00109685	0.00109626
0.04208417	0.00109652	0.00109864	0.00109652	0.00109594
0.04408818	0.00109619	0.00109222	0.00109619	0.00109561
0.04609218	0.00109584	0.00109014	0.00109584	0.00109526
0.04809619	0.00109547	0.00108675	0.00109547	0.00109490
0.05010020	0.00109509	0.00108379	0.00109509	0.00109452
0.05210421	0.00109469	0.00107617	0.00109469	0.00109412
0.05410822	0.00109428	0.00109710	0.00109428	0.00109371
0.05611222	0.00109385	0.00109158	0.00109385	0.00109329
0.05811623	0.00109341	0.00108543	0.00109341	0.00109285
0.06012024	0.00109295	0.00109320	0.00109295	0.00109240
0.06212425	0.00109248	0.00109375	0.00109248	0.00109193
0.06412826	0.00109199	0.00109146	0.00109199	0.00109145
0.06613226	0.00109149	0.00107637	0.00109149	0.00109095
