# Signal Processing Proof Results
# H shape: (3, 1), sigma_z: 1e-05
# SVD singular values: [1.224744871391589]
# Condition number: 1.00
# Fisher F: 45000000000.0000
# CRLB: 2.222222e-11
# LS RMS error: 7.797385e-06
# Reg RMS error: 7.797385e-06
# Iter RMS error: 7.797385e-06
# All checks pass: True
#
# t	G_true	x_hat_LS	x_hat_reg	x_hat_iter
0.00000000	0.00110000	0.00111106	0.00111106	0.00111106
0.00200401	0.00109999	0.00110852	0.00110852	0.00110852
0.00400802	0.00109997	0.00109982	0.00109982	0.00109982
0.00601202	0.00109993	0.00110980	0.00110980	0.00110980
0.00801603	0.00109987	0.00109847	0.00109847	0.00109847
0.01002004	0.00109980	0.00109793	0.00109793	0.00109793
0.01202405	0.00109971	0.00111125	0.00111125	0.00111125
0.01402806	0.00109961	0.00110397	0.00110397	0.00110397
0.01603206	0.00109949	0.00110002	0.00110002	0.00110002
0.01803607	0.00109936	0.00109842	0.00109842	0.00109842
0.02004008	0.00109921	0.00110141	0.00110141	0.00110141
0.02204409	0.00109904	0.00109643	0.00109643	0.00109643
0.02404810	0.00109886	0.00110659	0.00110659	0.00110659
0.02605210	0.00109866	0.00108059	0.00108059	0.00108059
0.02805611	0.00109845	0.00109081	0.00109081	0.00109081
0.03006012	0.00109822	0.00109765	0.00109765	0.00109765
0.03206413	0.00109798	0.00109072	0.00109072	0.00109072
0.03406814	0.00109772	0.00109494	0.00109494	0.00109494
0.03607214	0.00109744	0.00109065	0.00109065	0.00109065
0.03807615	0.00109715	0.00109165	0.00109165	0.00109165
0.04008016	0.00109685	0.00110279	0.00110279	0.00110279
0.04208417	0.00109652	0.00109492	0.00109492	0.00109492
0.04408818	0.00109619	0.00109435	0.00109435	0.00109435
0.04609218	0.00109584	0.00109538	0.00109538	0.00109538
0.04809619	0.00109547	0.00109505	0.00109505	0.00109505
0.05010020	0.00109509	0.00109126	0.00109126	0.00109126
0.05210421	0.00109469	0.00108172	0.00108172	0.00108172
0.05410822	0.00109428	0.00109734	0.00109734	0.00109734
0.05611222	0.00109385	0.00109276	0.00109276	0.00109276
0.05811623	0.00109341	0.00108504	0.00108504	0.00108504
0.06012024	0.00109295	0.00109021	0.00109021	0.00109021
0.06212425	0.00109248	0.00109373	0.00109373	0.00109373
0.06412826	0.00109199	0.00109301	0.00109301	0.00109301
0.06613226	0.00109149	0.00108256	0.00108256	0.00108256
0.06813627	0.00109098	0.00109268	0.00109268	0.00109268
0.07014028	0.00109045	0.00108771	0.00108771	0.00108771
0.07214429	0.00108990	0.00108434	0.00108434	0.00108434
0.07414830	0.00108934	0.00107011	0.00107011	0.00107011
0.07615230	0.00108877	0.00108402	0.00108402	0.00108402
0.07815631	0.00108818	0.00109106	0.00109106	0.00109106
0.08016032	0.00108758	0.00110090	0.00110090	0.00110090
0.08216433	0.00108697	0.00108281	0.00108281	0.00108281
0.08416834	0.00108634	0.00109093	0.00109093	0.00109093
0.08617234	0.00108570	0.00108837	0.00108837	0.00108837
0.08817635	0.00108504	0.00106637	0.00106637	0.00106637
0.09018036	0.00108437	0.00107986	0.00107986	0.00107986
0.09218437	0.00108369	0.00108472	0.00108472	0.00108472
0.09418838	0.00108299	0.00108411	0.00108411	0.00108411
0.09619238	0.00108228	0.00109073	0.00109073	0.00109073
0.09819639	0.00108156	0.00107240	0.00107240	0.00107240
0.10020040	0.00108083	0.00108119	0.00108119	0.00108119
0.10220441	0.00108008	0.00107831	0.00107831	0.00107831
0.10420842	0.00107932	0.00108035	0.00108035	0.00108035
0.10621242	0.00107855	0.00108434	0.00108434	0.00108434
0.10821643	0.00107776	0.00108393	0.00108393	0.00108393
0.11022044	0.00107696	0.00107956	0.00107956	0.00107956
0.11222445	0.00107615	0.00106885	0.00106885	0.00106885
